accuracy,alpha,batch_neg,batch_pos,embed_dim,hidden_dim,learning_rate,train_size,trial
0.442,1e-05,515,489,2,2,0.0001,1004,11
0.44,1e-05,561,543,2,2,0.0001,1104,11
0.44,1e-05,607,597,2,2,0.0001,1204,11
0.44,1e-05,663,641,2,2,0.0001,1304,11
0.442,1e-05,722,682,2,2,0.0001,1404,11
0.442,1e-05,778,726,2,2,0.0001,1504,11
0.442,1e-05,828,776,2,2,0.0001,1604,11
0.444,1e-05,877,827,2,2,0.0001,1704,11
0.444,1e-05,922,882,2,2,0.0001,1804,11
0.444,1e-05,960,944,2,2,0.0001,1904,11
0.444,1e-05,1003,1001,2,2,0.0001,2004,11
0.498,1e-05,45,59,2,2,0.0001,104,12
0.498,1e-05,93,111,2,2,0.0001,204,12
0.498,1e-05,151,153,2,2,0.0001,304,12
0.498,1e-05,201,203,2,2,0.0001,404,12
0.498,1e-05,263,241,2,2,0.0001,504,12
0.498,1e-05,298,306,2,2,0.0001,604,12
0.498,1e-05,352,352,2,2,0.0001,704,12
0.498,1e-05,402,402,2,2,0.0001,804,12
0.498,1e-05,455,449,2,2,0.0001,904,12
0.498,1e-05,512,492,2,2,0.0001,1004,12
0.498,1e-05,555,549,2,2,0.0001,1104,12
0.498,1e-05,606,598,2,2,0.0001,1204,12
0.498,1e-05,657,647,2,2,0.0001,1304,12
0.498,1e-05,704,700,2,2,0.0001,1404,12
0.498,1e-05,762,742,2,2,0.0001,1504,12
0.498,1e-05,803,801,2,2,0.0001,1604,12
0.498,1e-05,849,855,2,2,0.0001,1704,12
0.498,1e-05,891,913,2,2,0.0001,1804,12
0.498,1e-05,947,957,2,2,0.0001,1904,12
0.498,1e-05,1003,1001,2,2,0.0001,2004,12
0.478,1e-05,44,60,2,2,0.0001,104,13
0.478,1e-05,97,107,2,2,0.0001,204,13
0.478,1e-05,147,157,2,2,0.0001,304,13
0.478,1e-05,194,210,2,2,0.0001,404,13
0.478,1e-05,250,254,2,2,0.0001,504,13
0.478,1e-05,299,305,2,2,0.0001,604,13
0.478,1e-05,352,352,2,2,0.0001,704,13
0.478,1e-05,403,401,2,2,0.0001,804,13
0.478,1e-05,452,452,2,2,0.0001,904,13
0.478,1e-05,493,511,2,2,0.0001,1004,13
0.478,1e-05,547,557,2,2,0.0001,1104,13
0.478,1e-05,608,596,2,2,0.0001,1204,13
0.478,1e-05,651,653,2,2,0.0001,1304,13
0.478,1e-05,703,701,2,2,0.0001,1404,13
0.478,1e-05,753,751,2,2,0.0001,1504,13
0.478,1e-05,809,795,2,2,0.0001,1604,13
0.478,1e-05,859,845,2,2,0.0001,1704,13
0.478,1e-05,901,903,2,2,0.0001,1804,13
0.478,1e-05,962,942,2,2,0.0001,1904,13
0.478,1e-05,1013,991,2,2,0.0001,2004,13
0.466,1e-05,47,57,2,2,0.0001,104,14
0.466,1e-05,93,111,2,2,0.0001,204,14
0.466,1e-05,140,164,2,2,0.0001,304,14
0.466,1e-05,193,211,2,2,0.0001,404,14
0.466,1e-05,245,259,2,2,0.0001,504,14
0.466,1e-05,289,315,2,2,0.0001,604,14
0.466,1e-05,326,378,2,2,0.0001,704,14
0.466,1e-05,370,434,2,2,0.0001,804,14
0.464,1e-05,417,487,2,2,0.0001,904,14
0.464,1e-05,469,535,2,2,0.0001,1004,14
0.464,1e-05,520,584,2,2,0.0001,1104,14
0.464,1e-05,567,637,2,2,0.0001,1204,14
0.464,1e-05,618,686,2,2,0.0001,1304,14
0.464,1e-05,669,735,2,2,0.0001,1404,14
0.462,1e-05,719,785,2,2,0.0001,1504,14
0.462,1e-05,773,831,2,2,0.0001,1604,14
0.462,1e-05,830,874,2,2,0.0001,1704,14
0.462,1e-05,881,923,2,2,0.0001,1804,14
0.462,1e-05,936,968,2,2,0.0001,1904,14
0.46,1e-05,989,1015,2,2,0.0001,2004,14
0.472,1e-05,49,55,2,2,0.0001,104,15
0.472,1e-05,94,110,2,2,0.0001,204,15
0.472,1e-05,147,157,2,2,0.0001,304,15
0.472,1e-05,185,219,2,2,0.0001,404,15
0.472,1e-05,244,260,2,2,0.0001,504,15
0.472,1e-05,304,300,2,2,0.0001,604,15
0.472,1e-05,353,351,2,2,0.0001,704,15
0.472,1e-05,400,404,2,2,0.0001,804,15
