accuracy,alpha,batch_neg,batch_pos,embed_dim,equality_pretrain_max_iter,equality_pretraining_accuracy,hidden_dim,learning_rate,max_equality_pretraining_trials,rep_pretrain_max_iter,rep_pretrain_tasks,train_size,trial
0.536,0.0001,0,0,25,10,0.997,50,0.01,1,10,10,0,8
0.584,0.0001,55,49,25,10,0.997,50,0.01,1,10,10,104,8
0.488,0.0001,99,105,25,10,0.997,50,0.01,1,10,10,204,8
0.58,0.0001,151,153,25,10,0.997,50,0.01,1,10,10,304,8
0.6,0.0001,198,206,25,10,0.997,50,0.01,1,10,10,404,8
0.562,0.0001,246,258,25,10,0.997,50,0.01,1,10,10,504,8
0.668,0.0001,293,311,25,10,0.997,50,0.01,1,10,10,604,8
0.704,0.0001,340,364,25,10,0.997,50,0.01,1,10,10,704,8
0.774,0.0001,398,406,25,10,0.997,50,0.01,1,10,10,804,8
0.804,0.0001,449,455,25,10,0.997,50,0.01,1,10,10,904,8
0.83,0.0001,495,509,25,10,0.997,50,0.01,1,10,10,1004,8
0.89,0.0001,543,561,25,10,0.997,50,0.01,1,10,10,1104,8
0.924,0.0001,598,606,25,10,0.997,50,0.01,1,10,10,1204,8
0.95,0.0001,647,657,25,10,0.997,50,0.01,1,10,10,1304,8
0.954,0.0001,694,710,25,10,0.997,50,0.01,1,10,10,1404,8
0.962,0.0001,741,763,25,10,0.997,50,0.01,1,10,10,1504,8
0.97,0.0001,793,811,25,10,0.997,50,0.01,1,10,10,1604,8
0.97,0.0001,842,862,25,10,0.997,50,0.01,1,10,10,1704,8
0.976,0.0001,888,916,25,10,0.997,50,0.01,1,10,10,1804,8
0.982,0.0001,945,959,25,10,0.997,50,0.01,1,10,10,1904,8
0.558,0.0001,0,0,25,10,0.999,50,0.01,1,10,10,0,9
0.58,0.0001,55,49,25,10,0.999,50,0.01,1,10,10,104,9
0.468,0.0001,103,101,25,10,0.999,50,0.01,1,10,10,204,9
0.598,0.0001,155,149,25,10,0.999,50,0.01,1,10,10,304,9
0.576,0.0001,206,198,25,10,0.999,50,0.01,1,10,10,404,9
0.512,0.0001,260,244,25,10,0.999,50,0.01,1,10,10,504,9
0.59,0.0001,311,293,25,10,0.999,50,0.01,1,10,10,604,9
0.588,0.0001,358,346,25,10,0.999,50,0.01,1,10,10,704,9
0.618,0.0001,406,398,25,10,0.999,50,0.01,1,10,10,804,9
