trial,train_size,embed_dim,hidden_dim,alpha,learning_rate,accuracy,batch_pos
18,40104,2,2,1e-05,0.0001,0.5,20169
19,40104,2,2,1e-05,0.0001,0.5,20135
20,40104,2,2,1e-05,0.0001,0.5,20011
1,45104,2,2,1e-05,0.0001,0.5,22638
2,45104,2,2,1e-05,0.0001,0.5,22456
3,45104,2,2,1e-05,0.0001,0.5,22403
4,45104,2,2,1e-05,0.0001,0.5,22451
5,45104,2,2,1e-05,0.0001,0.5,22398
6,45104,2,2,1e-05,0.0001,0.508,22670
7,45104,2,2,1e-05,0.0001,0.5,22491
8,45104,2,2,1e-05,0.0001,0.5,22527
9,45104,2,2,1e-05,0.0001,0.484,22459
10,45104,2,2,1e-05,0.0001,0.5,22542
11,45104,2,2,1e-05,0.0001,0.506,22539
12,45104,2,2,1e-05,0.0001,0.5,22733
13,45104,2,2,1e-05,0.0001,0.534,22483
14,45104,2,2,1e-05,0.0001,0.504,22475
15,45104,2,2,1e-05,0.0001,0.5,22511
16,45104,2,2,1e-05,0.0001,0.5,22595
17,45104,2,2,1e-05,0.0001,0.5,22609
18,45104,2,2,1e-05,0.0001,0.5,22732
19,45104,2,2,1e-05,0.0001,0.5,22611
20,45104,2,2,1e-05,0.0001,0.5,22533
1,50104,2,2,1e-05,0.0001,0.5,25120
2,50104,2,2,1e-05,0.0001,0.5,25006
3,50104,2,2,1e-05,0.0001,0.5,24935
4,50104,2,2,1e-05,0.0001,0.5,24938
5,50104,2,2,1e-05,0.0001,0.5,24921
6,50104,2,2,1e-05,0.0001,0.51,25170
7,50104,2,2,1e-05,0.0001,0.5,25013
8,50104,2,2,1e-05,0.0001,0.5,25004
9,50104,2,2,1e-05,0.0001,0.47600000000000003,24911
10,50104,2,2,1e-05,0.0001,0.498,25035
11,50104,2,2,1e-05,0.0001,0.504,25013
12,50104,2,2,1e-05,0.0001,0.5,25232
13,50104,2,2,1e-05,0.0001,0.53,25002
14,50104,2,2,1e-05,0.0001,0.51,25006
15,50104,2,2,1e-05,0.0001,0.5,25023
16,50104,2,2,1e-05,0.0001,0.5,25137
17,50104,2,2,1e-05,0.0001,0.5,25167
18,50104,2,2,1e-05,0.0001,0.5,25249
19,50104,2,2,1e-05,0.0001,0.5,25121
20,50104,2,2,1e-05,0.0001,0.5,25043
1,55104,2,2,1e-05,0.0001,0.5,27591
2,55104,2,2,1e-05,0.0001,0.5,27561
3,55104,2,2,1e-05,0.0001,0.5,27406
4,55104,2,2,1e-05,0.0001,0.5,27445
5,55104,2,2,1e-05,0.0001,0.5,27389
6,55104,2,2,1e-05,0.0001,0.51,27654
7,55104,2,2,1e-05,0.0001,0.5,27506
8,55104,2,2,1e-05,0.0001,0.5,27530
9,55104,2,2,1e-05,0.0001,0.484,27428
10,55104,2,2,1e-05,0.0001,0.5,27512
11,55104,2,2,1e-05,0.0001,0.5,27497
