trial,embed_dim,hidden_dim,alpha,learning_rate,premack_training,equality_accuracy,premack_accuracy
5,2,2,0.001,0.01,860,0.724,0.499
5,2,2,0.001,0.01,880,0.724,0.5
5,2,2,0.001,0.01,900,0.724,0.5
5,2,2,0.001,0.01,920,0.724,0.501
5,2,2,0.001,0.01,940,0.724,0.502
5,2,2,0.001,0.01,960,0.724,0.502
5,2,2,0.001,0.01,980,0.724,0.5
6,2,2,0.001,0.01,0,0.5625,0.5
6,2,2,0.001,0.01,20,0.5625,0.5
6,2,2,0.001,0.01,40,0.5625,0.5
6,2,2,0.001,0.01,60,0.5625,0.5
6,2,2,0.001,0.01,80,0.5625,0.5
6,2,2,0.001,0.01,100,0.5625,0.5
6,2,2,0.001,0.01,120,0.5625,0.5
6,2,2,0.001,0.01,140,0.5625,0.5
6,2,2,0.001,0.01,160,0.5625,0.5
6,2,2,0.001,0.01,180,0.5625,0.5
6,2,2,0.001,0.01,200,0.5625,0.5
6,2,2,0.001,0.01,220,0.5625,0.5
6,2,2,0.001,0.01,240,0.5625,0.5
6,2,2,0.001,0.01,260,0.5625,0.5
6,2,2,0.001,0.01,280,0.5625,0.5
6,2,2,0.001,0.01,300,0.5625,0.5
6,2,2,0.001,0.01,320,0.5625,0.5
6,2,2,0.001,0.01,340,0.5625,0.5
6,2,2,0.001,0.01,360,0.5625,0.5
6,2,2,0.001,0.01,380,0.5625,0.5
6,2,2,0.001,0.01,400,0.5625,0.5
6,2,2,0.001,0.01,420,0.5625,0.5
6,2,2,0.001,0.01,440,0.5625,0.5
6,2,2,0.001,0.01,460,0.5625,0.5
6,2,2,0.001,0.01,480,0.5625,0.5
6,2,2,0.001,0.01,500,0.5625,0.5
6,2,2,0.001,0.01,520,0.5625,0.5
6,2,2,0.001,0.01,540,0.5625,0.5
6,2,2,0.001,0.01,560,0.5625,0.5
6,2,2,0.001,0.01,580,0.5625,0.5
6,2,2,0.001,0.01,600,0.5625,0.5
6,2,2,0.001,0.01,620,0.5625,0.5
6,2,2,0.001,0.01,640,0.5625,0.5
6,2,2,0.001,0.01,660,0.5625,0.5
