trial,train_size,embed_dim,hidden_dim,alpha,learning_rate,accuracy,batch_pos
4,60104,2,2,1e-05,0.0001,0.5,30021
5,60104,2,2,1e-05,0.0001,0.494,29985
6,60104,2,2,1e-05,0.0001,0.6,30009
7,60104,2,2,1e-05,0.0001,0.48200000000000004,30157
8,60104,2,2,1e-05,0.0001,0.5,30033
9,60104,2,2,1e-05,0.0001,0.514,29949
10,60104,2,2,1e-05,0.0001,0.498,30065
11,60104,2,2,1e-05,0.0001,0.5,30116
12,60104,2,2,1e-05,0.0001,0.508,30096
13,60104,2,2,1e-05,0.0001,0.5,30051
14,60104,2,2,1e-05,0.0001,0.5,30186
15,60104,2,2,1e-05,0.0001,0.52,30060
16,60104,2,2,1e-05,0.0001,0.5,30084
17,60104,2,2,1e-05,0.0001,0.49200000000000005,29963
18,60104,2,2,1e-05,0.0001,0.52,30117
19,60104,2,2,1e-05,0.0001,0.528,30041
20,60104,2,2,1e-05,0.0001,0.47200000000000003,30163
1,65104,2,2,1e-05,0.0001,0.5,32383
2,65104,2,2,1e-05,0.0001,0.5,32597
3,65104,2,2,1e-05,0.0001,0.506,32643
4,65104,2,2,1e-05,0.0001,0.5,32621
5,65104,2,2,1e-05,0.0001,0.48200000000000004,32500
6,65104,2,2,1e-05,0.0001,0.606,32507
7,65104,2,2,1e-05,0.0001,0.484,32545
8,65104,2,2,1e-05,0.0001,0.5,32463
9,65104,2,2,1e-05,0.0001,0.516,32500
10,65104,2,2,1e-05,0.0001,0.502,32619
11,65104,2,2,1e-05,0.0001,0.5,32637
12,65104,2,2,1e-05,0.0001,0.514,32585
13,65104,2,2,1e-05,0.0001,0.5,32583
14,65104,2,2,1e-05,0.0001,0.5,32662
15,65104,2,2,1e-05,0.0001,0.514,32562
16,65104,2,2,1e-05,0.0001,0.5,32567
17,65104,2,2,1e-05,0.0001,0.49,32528
18,65104,2,2,1e-05,0.0001,0.524,32603
19,65104,2,2,1e-05,0.0001,0.534,32519
20,65104,2,2,1e-05,0.0001,0.47,32657
1,70104,2,2,1e-05,0.0001,0.5,34873
2,70104,2,2,1e-05,0.0001,0.5,35100
3,70104,2,2,1e-05,0.0001,0.508,35127
4,70104,2,2,1e-05,0.0001,0.5,35114
5,70104,2,2,1e-05,0.0001,0.478,35036
6,70104,2,2,1e-05,0.0001,0.606,35007
7,70104,2,2,1e-05,0.0001,0.486,35051
8,70104,2,2,1e-05,0.0001,0.5,34962
9,70104,2,2,1e-05,0.0001,0.516,34966
10,70104,2,2,1e-05,0.0001,0.496,35201
11,70104,2,2,1e-05,0.0001,0.5,35124
12,70104,2,2,1e-05,0.0001,0.526,35087
13,70104,2,2,1e-05,0.0001,0.5,35150
14,70104,2,2,1e-05,0.0001,0.486,35203
15,70104,2,2,1e-05,0.0001,0.52,35057
16,70104,2,2,1e-05,0.0001,0.5,35117
17,70104,2,2,1e-05,0.0001,0.494,35063
18,70104,2,2,1e-05,0.0001,0.526,35120
19,70104,2,2,1e-05,0.0001,0.528,35053
20,70104,2,2,1e-05,0.0001,0.47,35161
1,75104,2,2,1e-05,0.0001,0.502,37366
2,75104,2,2,1e-05,0.0001,0.5,37621
3,75104,2,2,1e-05,0.0001,0.494,37629
4,75104,2,2,1e-05,0.0001,0.5,37638
5,75104,2,2,1e-05,0.0001,0.496,37510
6,75104,2,2,1e-05,0.0001,0.598,37543
7,75104,2,2,1e-05,0.0001,0.484,37536
8,75104,2,2,1e-05,0.0001,0.5,37474
9,75104,2,2,1e-05,0.0001,0.514,37530
10,75104,2,2,1e-05,0.0001,0.488,37753
11,75104,2,2,1e-05,0.0001,0.5,37633
12,75104,2,2,1e-05,0.0001,0.518,37545
13,75104,2,2,1e-05,0.0001,0.5,37618
14,75104,2,2,1e-05,0.0001,0.49200000000000005,37685
15,75104,2,2,1e-05,0.0001,0.524,37536
16,75104,2,2,1e-05,0.0001,0.5,37621
17,75104,2,2,1e-05,0.0001,0.48,37564
18,75104,2,2,1e-05,0.0001,0.518,37657
19,75104,2,2,1e-05,0.0001,0.524,37523
20,75104,2,2,1e-05,0.0001,0.47,37678
1,80104,2,2,1e-05,0.0001,0.508,39925
2,80104,2,2,1e-05,0.0001,0.5,40085
3,80104,2,2,1e-05,0.0001,0.488,40116
4,80104,2,2,1e-05,0.0001,0.478,40154
5,80104,2,2,1e-05,0.0001,0.49200000000000005,40028
6,80104,2,2,1e-05,0.0001,0.596,39987
7,80104,2,2,1e-05,0.0001,0.488,40027
8,80104,2,2,1e-05,0.0001,0.5,39978
9,80104,2,2,1e-05,0.0001,0.516,40026
10,80104,2,2,1e-05,0.0001,0.48,40164
11,80104,2,2,1e-05,0.0001,0.5,40129
12,80104,2,2,1e-05,0.0001,0.516,40041
13,80104,2,2,1e-05,0.0001,0.5,40138
14,80104,2,2,1e-05,0.0001,0.49200000000000005,40199
15,80104,2,2,1e-05,0.0001,0.526,40039
16,80104,2,2,1e-05,0.0001,0.5,40134
17,80104,2,2,1e-05,0.0001,0.496,40074
18,80104,2,2,1e-05,0.0001,0.524,40151
19,80104,2,2,1e-05,0.0001,0.52,39978
20,80104,2,2,1e-05,0.0001,0.46799999999999997,40158
1,85104,2,2,1e-05,0.0001,0.512,42430
2,85104,2,2,1e-05,0.0001,0.5,42560
3,85104,2,2,1e-05,0.0001,0.5,42652
4,85104,2,2,1e-05,0.0001,0.47600000000000003,42655
5,85104,2,2,1e-05,0.0001,0.47600000000000003,42521
6,85104,2,2,1e-05,0.0001,0.6,42496
7,85104,2,2,1e-05,0.0001,0.484,42526
8,85104,2,2,1e-05,0.0001,0.51,42450
9,85104,2,2,1e-05,0.0001,0.516,42530
10,85104,2,2,1e-05,0.0001,0.484,42584
11,85104,2,2,1e-05,0.0001,0.5,42561
12,85104,2,2,1e-05,0.0001,0.508,42550
13,85104,2,2,1e-05,0.0001,0.5,42581
14,85104,2,2,1e-05,0.0001,0.5,42691
15,85104,2,2,1e-05,0.0001,0.52,42523
16,85104,2,2,1e-05,0.0001,0.51,42597
17,85104,2,2,1e-05,0.0001,0.496,42588
18,85104,2,2,1e-05,0.0001,0.522,42539
19,85104,2,2,1e-05,0.0001,0.514,42496
20,85104,2,2,1e-05,0.0001,0.46399999999999997,42568
1,90104,2,2,1e-05,0.0001,0.508,44976
2,90104,2,2,1e-05,0.0001,0.5,45063
3,90104,2,2,1e-05,0.0001,0.502,45123
4,90104,2,2,1e-05,0.0001,0.48,45110
5,90104,2,2,1e-05,0.0001,0.466,45038
6,90104,2,2,1e-05,0.0001,0.6,45038
7,90104,2,2,1e-05,0.0001,0.478,45050
8,90104,2,2,1e-05,0.0001,0.508,44981
9,90104,2,2,1e-05,0.0001,0.516,44977
10,90104,2,2,1e-05,0.0001,0.48200000000000004,45046
11,90104,2,2,1e-05,0.0001,0.5,45111
12,90104,2,2,1e-05,0.0001,0.508,45064
13,90104,2,2,1e-05,0.0001,0.5,45070
14,90104,2,2,1e-05,0.0001,0.488,45127
15,90104,2,2,1e-05,0.0001,0.52,45072
16,90104,2,2,1e-05,0.0001,0.512,45041
17,90104,2,2,1e-05,0.0001,0.486,45016
18,90104,2,2,1e-05,0.0001,0.522,45043
19,90104,2,2,1e-05,0.0001,0.52,45067
20,90104,2,2,1e-05,0.0001,0.46799999999999997,45027
1,95104,2,2,1e-05,0.0001,0.508,47552
2,95104,2,2,1e-05,0.0001,0.5,47552
3,95104,2,2,1e-05,0.0001,0.498,47552
4,95104,2,2,1e-05,0.0001,0.48,47552
5,95104,2,2,1e-05,0.0001,0.462,47552
6,95104,2,2,1e-05,0.0001,0.602,47552
7,95104,2,2,1e-05,0.0001,0.474,47552
8,95104,2,2,1e-05,0.0001,0.506,47552
9,95104,2,2,1e-05,0.0001,0.514,47552
10,95104,2,2,1e-05,0.0001,0.494,47552
11,95104,2,2,1e-05,0.0001,0.5,47552
12,95104,2,2,1e-05,0.0001,0.504,47552
13,95104,2,2,1e-05,0.0001,0.5,47552
14,95104,2,2,1e-05,0.0001,0.494,47552
15,95104,2,2,1e-05,0.0001,0.52,47552
16,95104,2,2,1e-05,0.0001,0.516,47552
17,95104,2,2,1e-05,0.0001,0.486,47552
18,95104,2,2,1e-05,0.0001,0.522,47552
19,95104,2,2,1e-05,0.0001,0.512,47552
20,95104,2,2,1e-05,0.0001,0.47,47552
1,4,2,2,1e-05,0.001,0.5,4
2,4,2,2,1e-05,0.001,0.5,4
3,4,2,2,1e-05,0.001,0.512,4
4,4,2,2,1e-05,0.001,0.49200000000000005,4
5,4,2,2,1e-05,0.001,0.5,4
6,4,2,2,1e-05,0.001,0.5,4
7,4,2,2,1e-05,0.001,0.5,4
8,4,2,2,1e-05,0.001,0.5,4
9,4,2,2,1e-05,0.001,0.5,4
10,4,2,2,1e-05,0.001,0.502,4
11,4,2,2,1e-05,0.001,0.498,4
12,4,2,2,1e-05,0.001,0.5,4
13,4,2,2,1e-05,0.001,0.5,4
14,4,2,2,1e-05,0.001,0.5,4
15,4,2,2,1e-05,0.001,0.5,4
16,4,2,2,1e-05,0.001,0.5,4
17,4,2,2,1e-05,0.001,0.5,4
18,4,2,2,1e-05,0.001,0.5,4
19,4,2,2,1e-05,0.001,0.498,4
20,4,2,2,1e-05,0.001,0.5,4
1,40,2,2,1e-05,0.001,0.5,21
2,40,2,2,1e-05,0.001,0.5,22
3,40,2,2,1e-05,0.001,0.512,22
4,40,2,2,1e-05,0.001,0.49200000000000005,16
5,40,2,2,1e-05,0.001,0.5,20
6,40,2,2,1e-05,0.001,0.5,25
7,40,2,2,1e-05,0.001,0.5,19
8,40,2,2,1e-05,0.001,0.5,22
9,40,2,2,1e-05,0.001,0.5,18
10,40,2,2,1e-05,0.001,0.502,23
11,40,2,2,1e-05,0.001,0.498,23
12,40,2,2,1e-05,0.001,0.5,22
13,40,2,2,1e-05,0.001,0.5,19
14,40,2,2,1e-05,0.001,0.5,16
15,40,2,2,1e-05,0.001,0.5,18
16,40,2,2,1e-05,0.001,0.5,15
17,40,2,2,1e-05,0.001,0.5,21
18,40,2,2,1e-05,0.001,0.5,21
19,40,2,2,1e-05,0.001,0.498,17
20,40,2,2,1e-05,0.001,0.5,22
1,104,2,2,1e-05,0.001,0.5,56
2,104,2,2,1e-05,0.001,0.5,48
3,104,2,2,1e-05,0.001,0.514,54
4,104,2,2,1e-05,0.001,0.49200000000000005,50
5,104,2,2,1e-05,0.001,0.5,59
6,104,2,2,1e-05,0.001,0.5,67
7,104,2,2,1e-05,0.001,0.5,54
8,104,2,2,1e-05,0.001,0.5,51
9,104,2,2,1e-05,0.001,0.5,52
10,104,2,2,1e-05,0.001,0.502,63
11,104,2,2,1e-05,0.001,0.498,50
12,104,2,2,1e-05,0.001,0.5,53
13,104,2,2,1e-05,0.001,0.5,50
14,104,2,2,1e-05,0.001,0.5,50
15,104,2,2,1e-05,0.001,0.5,49
16,104,2,2,1e-05,0.001,0.5,49
17,104,2,2,1e-05,0.001,0.5,51
18,104,2,2,1e-05,0.001,0.5,60
19,104,2,2,1e-05,0.001,0.498,51
20,104,2,2,1e-05,0.001,0.5,53
1,5104,2,2,1e-05,0.001,0.5,2560
2,5104,2,2,1e-05,0.001,0.5,2470
3,5104,2,2,1e-05,0.001,0.53,2485
4,5104,2,2,1e-05,0.001,0.504,2559
5,5104,2,2,1e-05,0.001,0.5,2495
6,5104,2,2,1e-05,0.001,0.5,2565
7,5104,2,2,1e-05,0.001,0.5,2560
8,5104,2,2,1e-05,0.001,0.5,2579
9,5104,2,2,1e-05,0.001,0.5,2524
10,5104,2,2,1e-05,0.001,0.5,2604
11,5104,2,2,1e-05,0.001,0.5,2566
12,5104,2,2,1e-05,0.001,0.5,2526
13,5104,2,2,1e-05,0.001,0.5,2533
14,5104,2,2,1e-05,0.001,0.5,2557
15,5104,2,2,1e-05,0.001,0.5,2622
16,5104,2,2,1e-05,0.001,0.5,2492
17,5104,2,2,1e-05,0.001,0.5,2518
18,5104,2,2,1e-05,0.001,0.5,2586
19,5104,2,2,1e-05,0.001,0.494,2560
20,5104,2,2,1e-05,0.001,0.5,2598
1,10104,2,2,1e-05,0.001,0.5,5025
2,10104,2,2,1e-05,0.001,0.5,4961
3,10104,2,2,1e-05,0.001,0.53,5025
4,10104,2,2,1e-05,0.001,0.51,5068
5,10104,2,2,1e-05,0.001,0.5,5045
6,10104,2,2,1e-05,0.001,0.5,5117
7,10104,2,2,1e-05,0.001,0.49200000000000005,5111
8,10104,2,2,1e-05,0.001,0.5,5085
9,10104,2,2,1e-05,0.001,0.5,5046
10,10104,2,2,1e-05,0.001,0.496,5118
11,10104,2,2,1e-05,0.001,0.504,5072
12,10104,2,2,1e-05,0.001,0.5,5035
13,10104,2,2,1e-05,0.001,0.498,5068
14,10104,2,2,1e-05,0.001,0.5,4994
15,10104,2,2,1e-05,0.001,0.5,5146
16,10104,2,2,1e-05,0.001,0.5,4996
17,10104,2,2,1e-05,0.001,0.502,5041
18,10104,2,2,1e-05,0.001,0.5,5092
19,10104,2,2,1e-05,0.001,0.494,5045
20,10104,2,2,1e-05,0.001,0.5,5122
1,15104,2,2,1e-05,0.001,0.5,7539
