trial,train_size,embed_dim,hidden_dim,alpha,learning_rate,accuracy,batch_pos
5,25104,2,2,1e-05,0.0001,0.516,12629
6,25104,2,2,1e-05,0.0001,0.5,12510
7,25104,2,2,1e-05,0.0001,0.5,12648
8,25104,2,2,1e-05,0.0001,0.5,12552
9,25104,2,2,1e-05,0.0001,0.5,12501
10,25104,2,2,1e-05,0.0001,0.5,12564
11,25104,2,2,1e-05,0.0001,0.48200000000000004,12557
12,25104,2,2,1e-05,0.0001,0.5,12573
13,25104,2,2,1e-05,0.0001,0.5,12490
14,25104,2,2,1e-05,0.0001,0.5,12499
15,25104,2,2,1e-05,0.0001,0.5,12533
16,25104,2,2,1e-05,0.0001,0.5,12617
17,25104,2,2,1e-05,0.0001,0.5,12492
18,25104,2,2,1e-05,0.0001,0.5,12652
19,25104,2,2,1e-05,0.0001,0.502,12565
20,25104,2,2,1e-05,0.0001,0.552,12565
1,30104,2,2,1e-05,0.0001,0.48,15032
2,30104,2,2,1e-05,0.0001,0.5,15032
3,30104,2,2,1e-05,0.0001,0.45799999999999996,14928
4,30104,2,2,1e-05,0.0001,0.5,15072
5,30104,2,2,1e-05,0.0001,0.522,15069
6,30104,2,2,1e-05,0.0001,0.5,15029
7,30104,2,2,1e-05,0.0001,0.5,15180
8,30104,2,2,1e-05,0.0001,0.5,15115
9,30104,2,2,1e-05,0.0001,0.5,14917
10,30104,2,2,1e-05,0.0001,0.5,15050
11,30104,2,2,1e-05,0.0001,0.486,15041
12,30104,2,2,1e-05,0.0001,0.498,15038
13,30104,2,2,1e-05,0.0001,0.5,14976
14,30104,2,2,1e-05,0.0001,0.5,15003
15,30104,2,2,1e-05,0.0001,0.5,15035
16,30104,2,2,1e-05,0.0001,0.5,15159
17,30104,2,2,1e-05,0.0001,0.5,15020
18,30104,2,2,1e-05,0.0001,0.5,15083
19,30104,2,2,1e-05,0.0001,0.502,15073
20,30104,2,2,1e-05,0.0001,0.552,15103
1,35104,2,2,1e-05,0.0001,0.48200000000000004,17498
2,35104,2,2,1e-05,0.0001,0.5,17508
3,35104,2,2,1e-05,0.0001,0.444,17460
4,35104,2,2,1e-05,0.0001,0.5,17565
